date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:28	720/720	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Apr%202024%2013:40:28%20GMT	https://www.bookofpussy.lol/robots.txt		(from )
16:40:28	34169/34169	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202024%2021:16:37%20GMT	https://www.bookofpussy.lol/	D:/Websites/bookofpussy/www.bookofpussy.lol/index.html	(from )
16:40:28	7252/7252	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202024%2005:09:00%20GMT	https://www.bookofpussy.lol/assets/images/faveicon.png	D:/Websites/bookofpussy/www.bookofpussy.lol/assets/images/faveicon.png	(from https://www.bookofpussy.lol/)
16:40:29	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2265d4c5f6-77bb%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.3/css/bootstrap.min.css	D:/Websites/bookofpussy/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.3/css/bootstrap.min.css	(from https://www.bookofpussy.lol/)
16:40:29	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	D:/Websites/bookofpussy/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://www.bookofpussy.lol/)
16:40:29	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/Websites/bookofpussy/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://www.bookofpussy.lol/)
16:40:30	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	D:/Websites/bookofpussy/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://www.bookofpussy.lol/)
16:40:30	22148/22148	---MCZ	200	added ('OK')	text/css	etag:W/%2264adc227-5684%22	https://cdn.lineicons.com/1.0.1/LineIcons.min.css	D:/Websites/bookofpussy/cdn.lineicons.com/1.0.1/LineIcons.min.css	(from https://www.bookofpussy.lol/)
16:40:30	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	D:/Websites/bookofpussy/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from https://www.bookofpussy.lol/)
16:40:30	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	D:/Websites/bookofpussy/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.bookofpussy.lol/)
